DATE,PRCP,TMAX,TMIN,RAIN
10-Mar,0.23,48.0,38.0,FALSE
10-Mar,0.0,51.0,37.0,TRUE
10-Apr,0.04,50.0,40.0,TRUE
10-Apr,0.75,50.0,37.0,TRUE
10-Apr,0.17,47.0,37.0,TRUE
10-Apr,0.11,53.0,40.0,TRUE
10-Apr,0.1,51.0,39.0,FALSE
10-Apr,0.0,52.0,41.0,TRUE
10-Apr,0.15,51.0,43.0,TRUE
10-Apr,0.01,50.0,39.0,FALSE
10-Apr,0.0,51.0,38.0,FALSE
10-Apr,0.0,57.0,34.0,FALSE
10-Apr,0.0,60.0,44.0,FALSE
10-Apr,0.0,56.0,47.0,TRUE
10-Apr,0.16,57.0,42.0,FALSE
10-Apr,0.0,60.0,39.0,TRUE
10-Apr,0.02,60.0,42.0,TRUE
10-Apr,0.03,66.0,45.0,TRUE
10-Apr,0.25,61.0,50.0,FALSE
10-Apr,0.0,70.0,46.0,FALSE
10-Apr,0.0,69.0,50.0,TRUE
10-Apr,0.06,56.0,47.0,TRUE
10-Apr,0.87,51.0,43.0,FALSE
10-Apr,0.0,55.0,42.0,TRUE
10-Apr,0.05,58.0,44.0,TRUE
10-Apr,0.08,54.0,43.0,FALSE
10-Apr,0.0,58.0,40.0,TRUE
10-Apr,0.18,65.0,48.0,TRUE
10-Apr,0.29,55.0,44.0,TRUE
10-Apr,0.13,56.0,43.0,FALSE
10-Apr,0.0,58.0,43.0,TRUE
10-Apr,0.04,58.0,44.0,TRUE
10-May,0.01,56.0,44.0,TRUE
10-May,0.32,53.0,45.0,TRUE
10-May,0.03,54.0,41.0,TRUE
10-May,0.08,53.0,40.0,TRUE
10-May,0.1,48.0,40.0,FALSE
10-May,0.0,61.0,42.0,FALSE
10-May,0.0,65.0,43.0,FALSE
10-May,0.0,65.0,42.0,FALSE
10-May,0.0,67.0,42.0,TRUE
10-May,0.18,55.0,45.0,FALSE
10-May,0.0,62.0,46.0,FALSE
10-May,0.0,62.0,47.0,FALSE
10-May,0.0,69.0,44.0,FALSE
10-May,0.0,72.0,48.0,FALSE
10-May,0.0,71.0,47.0,TRUE
10-May,0.02,71.0,53.0,TRUE
10-May,0.01,71.0,52.0,TRUE
10-May,0.14,63.0,50.0,TRUE
10-May,0.26,68.0,46.0,TRUE
10-May,0.21,56.0,44.0,TRUE
10-May,0.1,55.0,45.0,TRUE
10-May,0.01,61.0,45.0,TRUE
10-May,0.03,57.0,45.0,FALSE
10-May,0.0,62.0,42.0,TRUE
10-May,0.06,61.0,50.0,TRUE
10-May,0.23,57.0,47.0,TRUE
10-May,0.11,60.0,47.0,TRUE
10-May,0.45,53.0,50.0,TRUE
10-May,0.06,54.0,45.0,TRUE
10-May,0.11,59.0,42.0,TRUE
10-May,0.31,65.0,52.0,TRUE
10-Jun,0.15,62.0,49.0,TRUE
10-Jun,0.37,62.0,49.0,TRUE
10-Jun,0.03,63.0,46.0,TRUE
10-Jun,0.18,61.0,49.0,FALSE
10-Jun,0.0,69.0,49.0,TRUE
10-Jun,0.33,62.0,54.0,TRUE
10-Jun,0.01,65.0,53.0,TRUE
10-Jun,0.25,69.0,50.0,TRUE
10-Jun,0.25,62.0,51.0,TRUE
10-Jun,0.18,63.0,51.0,TRUE
10-Jun,0.1,64.0,50.0,FALSE
10-Jun,0.0,74.0,49.0,FALSE
10-Jun,0.0,70.0,52.0,FALSE
10-Jun,0.0,65.0,50.0,TRUE
10-Jun,0.19,61.0,47.0,TRUE
10-Jun,0.18,60.0,48.0,FALSE
10-Jun,0.0,62.0,51.0,FALSE
10-Jun,0.0,69.0,52.0,TRUE
10-Jun,0.06,57.0,53.0,TRUE
10-Jun,0.21,56.0,52.0,FALSE
10-Jun,0.0,63.0,51.0,FALSE
10-Jun,0.0,74.0,50.0,FALSE
10-Jun,0.0,77.0,57.0,FALSE
10-Jun,0.0,74.0,54.0,FALSE
10-Jun,0.0,64.0,55.0,FALSE
10-Jun,0.0,68.0,53.0,FALSE
10-Jun,0.0,70.0,51.0,FALSE
10-Jun,0.0,71.0,53.0,FALSE
10-Jun,0.0,67.0,51.0,FALSE
10-Jun,0.0,65.0,50.0,TRUE
10-Jul,0.01,62.0,52.0,TRUE
10-Jul,0.18,65.0,53.0,FALSE
10-Jul,0.0,68.0,52.0,TRUE
10-Jul,0.11,65.0,52.0,FALSE
10-Jul,0.0,65.0,51.0,FALSE
10-Jul,0.0,78.0,51.0,FALSE
10-Jul,0.0,90.0,59.0,FALSE
10-Jul,0.0,95.0,63.0,FALSE
10-Jul,0.0,93.0,62.0,FALSE
10-Jul,0.0,81.0,62.0,FALSE
10-Jul,0.0,74.0,57.0,FALSE
10-Jul,0.0,67.0,54.0,FALSE
10-Jul,0.0,70.0,50.0,FALSE
10-Jul,0.0,80.0,53.0,FALSE
10-Jul,0.0,80.0,57.0,FALSE
10-Jul,0.0,69.0,52.0,FALSE
10-Jul,0.0,70.0,51.0,FALSE
10-Jul,0.0,65.0,52.0,FALSE
10-Jul,0.0,68.0,53.0,FALSE
10-Jul,0.0,72.0,52.0,FALSE
10-Jul,0.0,80.0,52.0,TRUE
10-Jul,0.01,65.0,54.0,FALSE
10-Jul,0.0,79.0,51.0,FALSE
10-Jul,0.0,84.0,55.0,FALSE
10-Jul,0.0,86.0,57.0,FALSE
10-Jul,0.0,85.0,57.0,FALSE
10-Jul,0.0,78.0,53.0,FALSE
10-Jul,0.0,73.0,53.0,FALSE
10-Jul,0.0,69.0,54.0,FALSE
10-Jul,0.0,76.0,53.0,FALSE
10-Jul,0.0,69.0,53.0,FALSE
